X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER,SHAPE
-78.5195549996946,35.7588171620801,4337057,08B080BE-95E8-63F4-3A3FB5E8F57CEE9F,Carillon Assisted Living of Knightdale Dining,2408  HODGE RD,KNIGHTDALE,NC,27545,35.75881008,-78.51955243,19192666676,
-78.647305750978,35.8806502456013,4337058,08A5D2BA-3048-9838-FC96F889B762BA98,Rush Lounge,7361 SIX FORKS RD,RALEIGH,NC,27615,35.88064315,-78.64730313,19198484782,
-78.6340656622238,35.7888337546868,4337059,08BE77F0-BD78-5B44-23A13EBF2F5FB0C4,PIEBIRD,618 N PERSON ST,RALEIGH,NC,27604,35.78882667,-78.63406305,19195087612,
-78.751223329446,35.8175082575548,4337060,08C8DB62-F40E-0251-F00B00951468069F,SAS BUILDING C CAFE,820 SAS CAMPUS DR,CARY,NC,27513,35.81750117,-78.75122068,19195318651,
-78.8366209186037,35.6609787489827,4337061,08FB1466-DF49-AD63-9BAD02404B09A9C0,SUBWAY #50592,601 N MAIN ST,HOLLY SPRINGS,NC,27545,35.6609717,-78.83661826,19195574411,
-78.4703964966843,35.9164899216562,4337062,09001E9C-D5DC-8D29-3B8577684E81ADD8,ANZIO'S PIZZA,252 SOUTHTOWN CIR,ROLESVILLE,NC,27571,35.91648281,-78.47039393,19195548881,
-78.5153940926415,35.9507525867888,4337063,09064FBA-F51A-70A9-5EF49F9709F54CDC,THAI CAFE #2,3309 ROGERS RD,WAKE FOREST,NC,27587,35.95074547,-78.51539151,19194531679,
-78.5593875752031,35.798760754242,4337064,0955966E-B707-AD2C-284027D6708858FD,El Tapatio #4,4511 New Bern AVE,RALEIGH,NC,27610,35.79875367,-78.55938499,19192559161,
-78.8570188321668,35.838160658611,4337065,09C7AEAE-E078-149F-E8394F82D33BE4FC,Wendy's #11610583,4023 Davis DR,MORRISVILLE,NC,27560,35.83815358,-78.85701615,19194603966,
-78.8581179218893,35.8356325810213,4337066,09CD5F39-BB6A-3A29-5521E52514E45641,Red Dragon,4051 Davis DR,MORRISVILLE,NC,27560,35.8356255,-78.85811524,19193881836,
-78.6400050751424,35.7894451677218,4337067,09DD3249-C3D9-D51B-CDC29F7B05CA93DF,NIGHT KITCHEN BAKERY,10 W FRANKLIN STREET,RALEIGH,NC,27604,35.78943809,-78.64000247,19842328907,
-78.7806890784611,35.735678245469,4337068,09F0350C-DCDB-B721-22A3A56A050176ED,Harris Teeter #257 Starbucks,2080 Kildaire Farm RD,CARY,NC,27518,35.73567118,-78.78068643,19192339483,
-78.8882505926463,35.8441565870164,4337069,0A0205D6-9B17-15A1-A3CE3BE3FCCB54EA,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,CARY,NC,27519,35.8441495,-78.8882479,19193712693,
-78.639435251597,35.7822167429493,4337070,0A13BA57-C174-0E85-6B07EA03485E77D6,ACRO CAFE,11 W JONES ST,RALEIGH,NC,27601,35.78220966,-78.63943264,19197337450,
-78.7031380053912,35.8587724186595,4337071,0A34A22A-1422-201B-19C3CA251CE423A7,BRUEGGERS BAGELS #24,6274 GLENWOOD AVE,RALEIGH,NC,27612,35.85876533,-78.70313537,19198812626,
-78.6787165899594,35.8894074130146,4337072,0A45A024-1422-201B-19D5ABA79D67ACF5,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD,RALEIGH,NC,27613,35.88940031,-78.67871396,19198484902,
-78.8508769196344,35.7326376709171,4337073,0AAFCC59-CA38-9890-89731E940F61BA1F,Cantina 2 twenty five,225 N. SALEM STREET,APEX,NC,27502,35.73263061,-78.85087425,19194463366,
-78.8405318378168,35.8550732512542,4337074,0ADF44D6-945D-E172-89AC65F2DFE2C98B,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD,MORRISVILLE,NC,27560,35.85506616,-78.84052916,19193885355,
-78.7769584944854,35.9142475805536,4337075,0AF8005B-CE16-CCE0-932AFBE166566596,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,RALEIGH,NC,27617,35.91424048,-78.77695584,19192373919,
-78.8345920063419,35.6392259998637,4337076,0B2C513A-A8D1-22A5-27B591901FCF70F5,CHICK-FIL-A #2181,801 VILLAGE WALK  DR,HOLLY SPRING,NC,27540,35.63921896,-78.83458935,19195670060,
-78.6244499997089,35.8739736704332,4337077,0B0F9737-D86D-0F22-B093900D48E2C603,SMASHBURGER,6679-105 FALLS OF NEUSE ROAD,RALEIGH,NC,27615,35.87396657,-78.62444739,19198709230,
-78.6498069137145,35.735068005733,4337078,0B381E71-ADE8-82F3-FC739593FA1C1AC3,Bojangles #5,3301 S Wilmington ST,RALEIGH,NC,27603,35.73506094,-78.6498043,19197724512,
