OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,CREATED_DATE,LAST_EDITED_DATE,SHAPEAREA,SHAPELEN
2383416,OS-095,54.40445427,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,960,MARKS CREEK,OS-095,,,2369858.02800519,7282.94905729328
2383417,Lake Myra County Park,97.33820601,WAKE COUNTY,WAKE COUNTY,PARK,,FEE SIMPLE,960,MARKS CREEK,,,,3990605.36585014,10197.0651047548
2383418,OS-100,2.65201373,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,960,MARKS CREEK,OS-100,,,115521.718177191,2276.19318539342
2383419,OS-110,12.55230637,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,960,MARKS CREEK,OS-110,,,546778.763325892,3313.9208989629
2383420,,32.39751864,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,THE TRUST FOR PUBLIC LAND,,960,MARKS CREEK,,,,1411235.91204581,5916.64533248013
2383421,Apex Nature Park,134.10349099,TOWN OF APEX,APEX,PARK,,PARTNERSHIP,955,BEAVER CREEK,OS-022,,,6887134.18486177,22289.8867964427
2383422,OS-014,12.07884877,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,PARTNERSHIP,,,OS-014,,2019/06/27 15:18:42+00,526154.652498016,2994.1594450596
2383423,OS-096,8.96532745,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,OPEN SPACE,,PARTNERSHIP,950,MIDDLE CREEK,OS-096,,2019/06/27 15:18:44+00,390529.663524243,3842.77928410074
2383424,,1.70267136,"SANDERS, RICHARD T JR",HOLLY SPRINGS,OPEN SPACE,THE TRUST FOR PUBLIC LAND,,,,,,,74168.364576276,1196.61603652078
2383425,OS-063,1.43689495,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-063,,,62591.1439094545,1499.60195107095
2383426,OS-064,1.90661824,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-064,,,83052.2903898678,1800.17943964755
2383427,OS-065,1.66872317,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-065,,,72689.5812370735,1746.83439508157
2383428,OS-066,0.82838107,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,,SWIFT CREEK,OS-066,,,36084.2795397662,805.347819857623
2383429,OS-067,0.70867915,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,,SWIFT CREEK,OS-067,,,30870.0636426653,837.318936090107
2383430,OS-068,1.57895254,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-068,,,68779.1728207346,1241.65049084903
2383431,OS-059,1.59398302,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-059,,,69433.9005234171,1637.02136129073
2383432,OS-072,1.8461942,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-072,,,80420.2195437277,1757.47623869421
2383433,OS-069,2.04691572,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-069,,,89163.6486678894,1436.54735555303
2383434,OS-070,0.91564411,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-070,,,39885.4573273654,1033.42329413325
2383435,OS-073,0.99857844,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-073,,,43498.0768240298,1130.34472289081
2383436,OS-074,1.20894803,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,,SWIFT CREEK,OS-074,,,52661.7761351427,1279.73201499414
2383437,Church Street Park,24.98783314,TOWN OF MORRISVILLE,MORRISVILLE,PARK,PARTNERSHIP,Planned Park,950,KIT CREEK,OS-099,,2019/06/27 15:19:21+00,1088489.24040475,4862.18572194852
2383438,OS-111,124.33996594,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,,,MARKS CREEK,OS-111,,,5425490.225093,13895.0922231979
2383439,,3.12069666,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,PERRY CREEK,,,,135937.546656658,2931.66785975166
2383440,,0.10538893,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,4590.7415833298,309.482274229794
2383441,,1.86326451,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,TURKEY CREEK,,,,81163.8019405129,1190.382448814
2383442,,1.36209914,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,60187.8053215201,1011.4463553721
2383443,City of Raleigh Greenway,4.08957136,HODGES CREEK APARTMENTS,RALEIGH,GREENWAY,,EASEMENT,,Crabtree Creek Marsh Creek Trib A,,,,178134.08916589,4289.55467875349
2383444,,0.83039921,VARIOUS,RALEIGH,GREENWAY,,EASEMENT,,Crabtree Creek Marsh Creek Trib A,,,,35579.7826186847,1258.20355212548
2383445,Crabtree Creek Trail,13.40841332,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,,,644562.986505312,7071.10581484724
2383446,,0.5016007,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,21849.7263674987,1115.29916177251
2383447,City of Raleigh Greenway,36.734216,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,,,2012135.76513104,15783.1606173337
2383448,,2.86657894,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,OPEN SPACE,,,,,,,,124870.804666166,2280.6252817703
2383449,Kyle Drive Property,27.24470592,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,BEAVERDAM CREEK,,,,1186760.93458287,4514.1376378057
2383450,,0.72947034,CITY OF RALEIGH,RALEIGH,GREENWAY,,GREENWAY EASEMENT,,Walnut Creek Little Rock Trail,,,,31785.4236717643,1018.20194038326
2383451,Clear Creek Farms Subdivision,1.37049812,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,NR Honeycutt Creek,,,,59698.8981918266,1402.74400095148
2383452,,4.92563019,STATE OF NORTH CAROLINA,CLAYTON,OPEN SPACE,,,,,,,,202638.68787362,2285.96914518749
2383453,Chavis Way Greenway,1.04155088,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,45427.1246596254,1038.37869702991
2383454,,1.900967,PEYTON HALL OWNERS ASSN INC,RALEIGH,GREENWAY,,,,,,,,82807.4619905904,2392.76792699396
2383455,,3.31978064,CELEBRATION SQUARE HOMEOWNERS,RALEIGH,OPEN SPACE,,,,Crabtree Creek Mine Creek Trib A,,,,144609.644635361,5241.14898439987
2383456,Greenway Dedication,9.11841785,TOLL NC LP,WAKE COUNTY,GREENWAY,,LAND DEDICATION,,SWIFT CREEK,,,,397198.281704927,3588.708523118
2383457,OS-041,1.39317566,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-041,,,60686.7317512484,1561.23223538145
2383458,OS-046,1.45369633,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-046,,,63323.0120677375,1503.47375188409
2383459,OS-040,1.20868571,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-040,,,52650.3363043025,1284.56921902737
2383460,OS-039,1.27167649,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,959,SWIFT CREEK,OS-039,,,55394.1889771371,1455.85455280459
