OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,CREATED_DATE,LAST_EDITED_DATE,SHAPEAREA,SHAPELEN
2383688,,5.66150193,NC DEPARTMENT OF TRANSPORTATION ,HOLLY SPRINGS,OPEN SPACE,,,,,,,,248475.423756393,2577.5576103768
2383689,,1.25609875,NC DEPARTMENT OF TRANSPORTATION ,RALEIGH,OPEN SPACE,,,,,,,,54715.6615557358,1821.05997294733
2383690,,3.01903532,NC DEPARTMENT OF TRANSPORTATION ,WAKE COUNTY,OPEN SPACE,,,,,,,,131509.178416478,1503.6285222092
2383691,,4.85490574,NC DEPARTMENT OF TRANSPORTATION ,RALEIGH,OPEN SPACE,,,,,,,,211479.694162812,2270.70776742992
2383692,,17.78681546,NC DEPARTMENT OF TRANSPORTATION ,APEX,OPEN SPACE,,,,,,,,774793.681468586,3778.13262965464
2383693,,1.69947175,NC DEPARTMENT OF TRANSPORTATION ,WAKE COUNTY,OPEN SPACE,,,,,,,,74028.9893523804,1990.30224648201
2383694,,0.56536477,NC DEPARTMENT OF TRANSPORATION ,APEX,OPEN SPACE,,,,,,,,24627.2893433905,837.710814362582
2383695,,1.22848365,NC DEPARTMENT OF TRANSPORATION ,APEX,OPEN SPACE,,,,,,,,53512.7476847853,1192.34319720443
2383696,,0.16833208,NC DEPARTMENT OF TRANSPORATION ,APEX,OPEN SPACE,,,,,,,,7332.54528771054,351.276612155167
2383697,,0.42966182,NC DEPARTMENT OF TRANSPORTATION ,GARNER,OPEN SPACE,,,,,,,,18716.068783387,562.717572499755
2383698,,2.48833908,NC DEPARTMENT OF TRANSPORTATION ,GARNER,OPEN SPACE,,,,,,,,108392.050446348,2096.52818586551
2383699,Mingo Creek Park,8.16071275,TOWN OF KNIGHTDALE,KNIGHTDALE,PARK,,,,MINGO CREEK,,,,355480.647461134,2486.86260302883
2383700,,0.52185285,NC DEPARTMENT OF TRANSPORATION ,KNIGHTDALE,OPEN SPACE,,,,,,,,22731.9101693677,941.043128398647
2383701,,0.17950033,NC DEPARTMENT OF TRANSPORTATION ,KNIGHTDALE,OPEN SPACE,,,,,,,,7819.03419855539,404.32564411335
2383702,,0.59658484,NC DEPARTMENT OF TRANSPORTATION ,KNIGHTDALE,OPEN SPACE,,,,POPLAR CREEK,,,,25987.2356665001,1339.94862575888
2383703,,10.6138047,NC DEPARTMENT OF TRANSPORTATION ,CARY,OPEN SPACE,,,,,,,,462337.354876235,3635.56334079348
2383704,King Charles & Bertie,0.17725904,NCDOT,RALEIGH,OPEN SPACE,,,,,,,,7721.40376549494,314.71947961542
2383705,,0.90708188,NC DEPARTMENT OF TRANSPORTATION ,WAKE COUNTY,OPEN SPACE,NCDOT,,,,,,,39512.4865506353,1179.02994429019
2383706,,6.56794249,NC DEPARTMENT OF TRANSPORTATION ,WAKE COUNTY,OPEN SPACE,NCDOT,,,,,,,286099.574655251,2308.28438892062
2383707,,1.59576519,NC DEPARTMENT OF TRANSPORTATION ,RTP,OPEN SPACE,,,,,,,,72075.7470193593,1216.68442859413
2383708,,0.51838231,NC DEPARTMENT OF TRANSPORTATION ,RTP,OPEN SPACE,,,,,,,,22580.733424421,655.229664496092
2383709,,2.42636296,NC DEPARTMENT OF TRANSPORTATION ,RALEIGH,OPEN SPACE,,,,,,,,105692.370628769,1518.28018842966
2383710,,1.76447882,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,WALNUT CREEK,,,,76860.6975067759,1168.50462659867
2383711,,1.14856848,ZEBULON TOWN OF ,ZEBULON,OPEN SPACE,,,,,,,,50031.6431094897,1854.1493741299
2383712,Fuquay Mineral Spring Park,2.8638312,FUQUAY VARINA TOWN OF ,FUQUAY-VARINA,PARK,,,,,,,,124748.486966874,1490.49640579792
2383713,E-42 SITE,39.89378561,WAKE CNTY BOARD OF EDUCATION ,ROLEVSILLE,SCHOOL,,,,,,,,1734207.77069813,5683.92419618634
2383714,,0.4115625,CARY TOWN OF ,CARY,OPEN SPACE,,,,,,,,17927.6623322504,568.233963380326
2383715,Dedicated Open space,3.7457401,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,LAND DEDICATION,,,,,,163172.046217823,1654.95178494505
2383716,Dedicated Open space,4.61004683,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,LAND DEDICATION,,,,,,200826.108565222,2444.11429140267
2383717,,1.77979405,CARY TOWN OF ,CARY,OPEN SPACE,,,,,,,,77527.8286515388,1124.53687833294
2383718,,14.00352545,NCDOT,CARY,OPEN SPACE,,,,,,,,609993.568457659,3596.96554950865
2383719,,4.46851274,NCDOT,CARY,OPEN SPACE,,,,,,,,194648.414991695,2036.57121838155
2383720,,4.95283289,NCDOT,CARY,OPEN SPACE,,,,,,,,215786.809210096,2362.34314229405
2383721,,12.06700685,NCDOT,CARY,OPEN SPACE,,,,,,,,521581.651903135,3861.84426889585
2383722,,4.29093962,NCDOT,CARY,OPEN SPACE,,,,,,,,186913.32991054,2654.35523003908
2383723,,8.98229272,NCDOT,CARY,OPEN SPACE,,,,,,,,391261.708296066,3826.47745354212
2383724,,0.14279695,CITY OF RALEIGH,RALEIGH,TRAFFIC ISLAND,NCDOT,,,,,,,6201.72113415462,279.373227043824
2383725,,0.05757296,HOMEOWNERS ASSOCIATION,RALEIGH,TRAFFIC ISLAND,,,,,,,,2495.84154535927,177.311190939916
2383726,,0.73509654,NCDOT,RALEIGH,TRAFFIC ISLAND,NCDOT,,,,,,,31977.8197126915,634.125500985257
2383727,,1.21912267,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,,,,,,,53088.0193545242,1067.64995563551
2383728,,51.64161974,TRIANGLE GREENWAYS COUNCIL ,RALEIGH,OPEN SPACE,,,,WALNUT CREEK,,,,2249503.01658458,11376.5736277152
2383729,,8.34145124,NORTH CAROLINA STATE OF ,RALEIGH,OPEN SPACE,,,,,,,,363353.615962547,3068.44885002275
2383730,,5.34875677,TRIANGLE GREENWAYS COUNCIL ,RALEIGH,OPEN SPACE,,,,WALNUT CREEK,,,,232991.845024262,2644.35668479082
2383731,,3.57356915,TRIANGLE GREENWAYS COUNCIL ,RALEIGH,OPEN SPACE,,,,,,,,155674.990814899,2388.47933888988
2383732,,18.87847497,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,WALNUT CREEK,,,,822346.414251147,4411.77626701267
2383733,SUNSET LAKE,42.25586892,HOMEOWNERS ASSOCIATION,HOLLY SPRINGS,GREENWAY,,,,MIDDLE CREEK,,,,1840665.4421297,8152.77765141101
2383734,,0.83364018,GARNER TOWN OF ,GARNER,OPEN SPACE,,,,,,,,36313.3663310046,760.451898756778
2383735,,0.54620987,GARNER TOWN OF ,GARNER,OPEN SPACE,,,,,,,,23792.8777148406,621.226341565125
2383736,,1.21515249,NC DEPARTMENT OF TRANSPORTATION ,RALEIGH,OPEN SPACE,,,,,,,,52932.0806533641,1139.8776946909
2383737,William B Umstead State Park,5435.04982624,STATE OF NORTH CAROLINA,RALEIGH,PARK,,,,,,,2022/08/05 21:03:16+00,237621904.909147,98469.2622388086
2383738,OS-113,26.47927839,WAKE OF COUNTY ,WAKE COUNTY,OPEN SPACE,,,960,MARKS CREEK,OS-113,,,1153437.36438939,6499.9281531466
2383739,,6.00385165,KNIGHTDALE TOWN OF ,KNIGHTDALE,OPEN SPACE,,,,POPLAR CREEK,,,,261527.777913148,5976.70264245685
2383740,,0.32084338,CARY TOWN OF ,CARY,OPEN SPACE,,,,,,,,13975.9376658085,492.867120984603
2383741,,1.05369909,CARY TOWN OF ,CARY,OPEN SPACE,,,,,,,,45899.1321650648,881.193853519482
2383742,,3.09454151,GARNER TOWN OF ,GARNER,GREENWAY,,,,,,,,134798.344065185,3721.17282564177
2383743,Alleghany Trail,17.23265737,RALEIGH CITY OF ,RALEIGH,GREENWAY,,,,CRABTREE CREEK,,,,750654.374585173,8959.67904249895
2383744,E-24,30.84486188,WAKE CNTY BOARD OF EDUCATION THE ,RALEIGH,SCHOOL,,,,,,,,1343602.18368092,4973.02864682369
2383745,OS-101,14.36299081,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,954,LOWERY CREEK,OS-101,,,969710.342252402,9362.31298737372
2383746,,0.64127179,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,27933.7990273058,1070.49867305666
2383747,,0.37502466,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,16336.0742311395,717.446400287983
2383748,Neuse River Greenway,39.49314778,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,NEUSE RIVER,,,,1604419.29988033,8743.8459240124
2383749,Neuse River Greenway,98.46870048,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,NEUSE RIVER,,,,4289296.5928346,17094.4105267198
2383750,Higgins Greenway,8.32088706,DANSCO LLC ,CARY,GREENWAY,,EASEMENT,,,,,,362457.840226905,3208.51140511037
2383751,,0.60057046,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,26160.8491111898,1138.77889319205
2383752,,1.30986846,CARY TOWN OF ,CARY,OPEN SPACE,,,,BACHELOR BRANCH,,,,57057.8700255679,1047.0728902739
2383753,Falls Lake,99.64084683,UNITED STATES OF AMERICA,WAKE COUNTY,GREENWAY,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,4340142.67455796,12656.9830944214
2383754,Canoe Launch at Falls Lake,21.69154623,UNITED STATES OF AMERICA,WAKE COUNTY,PARK,CITY OF RALEIGH, , ,LOWERY CREEK,,,2021/10/14 16:37:24+00,940916.492119054,4860.36147403672
2383755,Falls Lake,151.47833884,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,6598396.44002107,14662.7115281175
2383756,Falls Lake,20.08470557,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,876358.55462907,3705.9339582306
2383757,Falls Lake,240.11521862,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,10459418.7098411,19587.2125031202
2383758,Falls Lake,467.58197541,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,20218312.1479446,37287.3410817502
2383759,Falls Lake,3743.00630721,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,NEUSE RIVER,,,,163055035.956505,185320.765238
2383760,Falls Lake,70.91737637,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,HORSE CREEK,,,,3088809.6584441,12132.7927996921
2383761,Falls Lake,140.33322997,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,6107702.15691677,15367.0667180841
2383762,Falls Lake,32.25553308,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,1405051.02081475,8613.79373692453
2383763,Falls Lake,2485.46074641,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,NEUSE RIVER,,,,108273494.849794,122530.475576514
2383764,Falls Lake,222.73456522,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,NEW LIGHT CREEK,,,,9702295.46040565,22112.6010085496
2383765,Falls Lake,0.03224365,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,1404.53324106428,897.293034063526
2383766,Falls Lake,188.04947124,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,NEW LIGHT CREEK,,,,8191446.38397854,17249.4474698704
2383767,Falls Lake,107.90310267,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LITTLE BEAVERDAM CREEK,,,,4700259.15220115,13087.8543593208
2383768,Falls Lake,53.58945745,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,BEAVERDAM CREEK,,,,2334356.76667275,7956.66325669321
2383769,Falls Lake,54.33224681,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,2366712.67125064,7244.57961106236
2383770,Falls Lake,2785.55012943,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,BEAVERDAM CREEK,,,,121266348.094444,83214.9674477873
2383771,Falls Lake,194.10928185,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,8455359.58292746,14000.2190501979
2383772,Falls Lake,405.32975864,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,BEAVERDAM CREEK,,,,17656164.286278,27338.6859048118
2383773,Falls Lake,7.81947993,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,340612.089318844,5432.75801691675
2383774,Falls Lake,2.14472285,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,93424.127376787,2161.82777559644
2383775,Falls Lake,0.24817353,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,LOWERY CREEK,,,,10810.4389552538,630.372093617326
2383776,Falls Lake,3385.75722668,UNITED STATES OF AMERICA,WAKE COUNTY,OPEN SPACE,US ARMY CORPS OF ENGINEERS, , ,NEUSE RIVER,,,,147468590.856054,140168.336485672
2383777,,45.26517896,CARY TOWN OF ,HOLLY SPRINGS,OPEN SPACE,,,,MIDDLE CREEK,,,,1972075.04307312,8145.33026772626
2383778,,8.97806126,NC DEPARTMENT OF TRANSPORTATION ,WAKE COUNTY,OPEN SPACE,,,,,,,,391084.348329118,3904.05460329199
2383779,,0.85598885,NC DEPARTMENT OF TRANSPORTATION ,WAKE COUNTY,OPEN SPACE,,,,,,,,37286.8741444244,843.063051128815
2383780,East Park,5.24338745,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,Crabtree Creek Trib F,,,,228411.88414078,6245.02397094935
2383781,Bagwell Property,1.14117259,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,Walnut Creek Big Branch Creek,,,,49529.8928690282,979.716355208394
2383782,624 Bragg Street,1.66291397,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,Walnut Creek Little Rock Trail,,,,72433.8171520987,1953.9073191639
2383783,Alston Ridge Park,3.71743198,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK,,,,,,,,161955.635335188,2181.82823743867
2383784,,0.73775661,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,32136.6780643085,1602.13170258708
2383785,,5.76995843,TRIANGLE GREENWAYS COUNCIL ,RALEIGH,OPEN SPACE,,,,WALNUT CREEK,,,,251339.389034266,1939.64728893243
2383786,,39.00084745,TRIANGLE LAND CONSERVANCY ,WAKE COUNTY,GREENWAY,,,,,,,,1698834.42713404,8687.46125264225
2383787,,19.15753714,RALEIGH CITY OF ,WAKE COUNTY,GREENWAY,,,,SWIFT CREEK,,,,834502.317745504,5466.94095460432
2383788,Lake Benson,654.92183296,RALEIGH CITY OF ,WAKE COUNTY,OPEN SPACE,,,,SWIFT CREEK,,,2018/06/25 18:22:20+00,28528395.0437848,67136.324545874
2383789,,29.68225271,"MITCHELL, LUBIN H ",WAKE COUNTY,OPEN SPACE,,,,LITTLE RIVER,OS-115,,,1292958.92823698,8206.55971718748
2383790,,23.98022332,WAKE FOREST TOWN OF ,WAKE FOREST,OPEN SPACE,,,,,,,,1044578.52775489,4512.70615611438
2383791,Future Park Site (Mims Property),17.47934475,HOLLY SPRINGS TOWN OF ,HOLLY SPRINGS,PARK,,FUTURE PARK SITE,,UTLEY CREEK,,,,760107.022951517,4294.64080044104
2383792,NCSU Vet School,61.34652486,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,RESEARCH,NCSU, , ,,,,,2672254.62304998,8878.53901398768
2383793,NCSU Vet School,213.01512974,NORTH CAROLINA STATE UNIVERSITY,RALEIGH,RESEARCH,NCSU, , ,HOUSE CREEK,,,,9314034.1902966,15025.4861249953
2383794,Little Rock Trail,2.99941827,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,,,130654.659824906,2778.13061215731
2383795,Little Rock Trail,0.11027584,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,4803.97489320999,336.282987363585
2383796,Little Rock Trail,0.64839165,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,28238.9441120403,714.249754454783
2383797,Little Rock Trail,0.75994097,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,,,33103.0285759182,727.396634453907
2383798,,0.14932679,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,6504.67494118189,323.042472648788
2383799,,0.52323033,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,22789.8741643741,751.653687424623
2383800,Jefferson L Sugg Farm,117.61071919,HOLLY SPRINGS TOWN OF ,HOLLY SPRINGS,OPEN SPACE,,,,BASAL CREEK,,,,5087695.56752741,12505.7040447558
2383801,Heritage High School Park,26.24800995,WAKE COUNTY BOARD OF EDUCATION,WAKE FOREST,PARK,WAKE COUNTY BOARD OF EDUCATION, , ,SANFORD CREEK,,,,1143363.31359473,4516.48780397226
2383802,Kiwanis Park,0.20928496,WAKE COUNTY,WAKE FOREST,PARK,,,,,,,,9116.45265574168,384.980860172961
2383803,,193.64801,NC DEPARTMENT OF TRANSPORATION ,KNIGHTDALE,OPEN SPACE,,,,MINGO CREEK,,,,8435307.31542256,19965.2624493359
2383804,,6.40021281,NC DEPT OF TRANSPORTATION ,ROLESVILLE,OPEN SPACE,,,,,,,,278793.307005209,2605.55893504019
2383805,,3.95551756,NC DEPARTMENT OF TRANSPORATION ,ROLESVILLE,OPEN SPACE,,,,,,,,172302.345076155,2271.9211062094
2383806,,0.26219901,WAKE FOREST TOWN OF ,WAKE FOREST,GREENWAY,,,,,,,,11421.3889670261,845.361789147408
2383807,,1.48528706,WAKE FOREST TOWN OF ,WAKE FOREST,OPEN SPACE,,,,,,,,64699.1041829837,1378.90204101516
2383808,Lake Lynn Park,34.00939224,CITY OF RALEIGH / WAKE COUNTY,RALEIGH,PARK, , ,609,HARE SNIPE CREEK,,,,1481449.12583672,7171.70835814749
2383809,,0.14556072,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,6340.62515694544,355.260986497734
2383810,Hunter Street Park,8.48946903,APEX TOWN OF ,APEX,PARK,,,,,,,,369801.270772229,2979.80062415816
2383811,,21.32630807,WAKE COUNTY ,WAKE COUNTY,OPEN SPACE,,,960,MARKS CREEK,,,,928973.979407026,5103.62920831881
2383812,Hadden Hall Greenway,4.14506708,APEX TOWN OF ,APEX,GREENWAY,,,,,,,,180559.121884499,2750.1304766511
2383813,Hadden Hall Greenway,7.70901636,APEX TOWN OF ,APEX,GREENWAY,,,,,,,,335804.75275242,5518.51495801849
2383814,,1.42301583,CARY TOWN OF ,CARY,OPEN SPACE,,,,,,,,61986.5694350714,1643.60874426334
2383815,,0.31632473,CARY TOWN OF ,CARY,OPEN SPACE,,,,,,,,13779.1051992679,811.235387210431
2383816,,0.56531356,MORRISVILLE TOWN OF ,MORRISVILLE,OPEN SPACE,,,,,,,,24625.0586217439,655.933655285043
2383817,,3.08762144,"STADELMAIER, HANS H & GERDA ",MORRISVILLE,GREENWAY,,EASEMENT,,,,,,134496.790066135,1863.54375484766
2383818,,0.67296649,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,29314.4200972643,937.063980618341
2383819,Chavis Heights Park,25.88556368,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,24445.3829905468,990.035583378202
2383820,Chavis Heights Park,25.96749331,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,1174797.96026888,7582.55479204622
2383821,Chavis Heights Park,25.88556368,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,,,20331.3994550381,757.583039747382
2383822,White Oak Creek Greenway,16.0836265,TOWN OF CARY,CARY,GREENWAY,,,,WHITE OAK CREEK,,,,700602.770251995,4043.90038729043
2383823,White Oak Creek Greenway,54.30802983,TOWN OF CARY,CARY,GREENWAY,,,,WHITE OAK CREEK,,,,2365657.77931655,12254.9546056728
2383824,,14.19752846,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,,,199660.061882495,3905.88352273143
2383825,,14.19752846,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,,,318509.585137473,7964.44730464809
2383826,,2.0766063,APEX TOWN OF ,APEX,OPEN SPACE,,,,,,,,90456.9703975038,2349.16155623958
2383827,,1.13760285,WENDELL TOWN OF ,WENDELL,OPEN SPACE,,,,,,,,49553.9799805401,907.801899759486
2383828,,0.45201099,WENDELL TOWN OF ,WENDELL,OPEN SPACE,,,,,,,,19689.5987076702,600.361985004504
2383829,,7.54344228,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,328592.345724693,3555.57658544776
2383830,,2.15859897,HOLLY SPRINGS TOWN OF ,HOLLY SPRINGS,OPEN SPACE,,,,,,,,94028.5711316962,1584.61496074489
2383831,,0.77109618,HOLLY SPRINGS TOWN OF ,HOLLY SPRINGS,OPEN SPACE,,,,,,,,33588.9495577907,1927.22616783255
2383832,,5.00010998,HOLLY SPRINGS TOWN OF ,HOLLY SPRINGS,OPEN SPACE,,,,,,,,217804.790652888,2210.5705925032
2383833,,0.05367105,HOLLY SPRINGS TOWN OF ,HOLLY SPRINGS,OPEN SPACE,,,,,,,,2333.48319974664,221.829373260801
2383834,,0.30185739,HOLLY SPRINGS TOWN OF ,HOLLY SPRINGS,OPEN SPACE,,,,,,,,13139.0572208986,511.669903539811
2383835,,2.00322519,THE TOWN OF KNIGHTDALE ,KNIGHTDALE,OPEN SPACE,,,,NEUSE RIVER,,,,87260.4892022763,1180.85106344256
2383836,Beaver Creek Greenway,21.97096065,APEX TOWN OF THE ,APEX,GREENWAY,,,,,,,,957055.045786101,14013.5867188356
2383837,,4.07945224,KNIGHTDALE TOWN OF ,KNIGHTDALE,OPEN SPACE,,,,MINGO CREEK,,,,177700.93960738,2234.03703350862
2383838,,4.89864389,KNIGHTDALE TOWN OF ,KNIGHTDALE,OPEN SPACE,,,,MINGO CREEK,,,,213384.927942387,4001.21172213575
2383839,,1.70094877,NC DEPARTMENT OF TRANSPORTATION ,APEX,OPEN SPACE,,,,,,,,74093.3285889874,1974.21454003173
2383840,,1.46622559,NC DEPARTMENT OF TRANSPORTATION ,APEX,OPEN SPACE,,,,,,,,63868.7867281906,1797.96191479841
2383841,,3.41790055,WAKE CNTY ,WAKE COUNTY,OPEN SPACE,,,,,,,,148883.748096436,3597.67974185299
2383842,Dog Park,8.01236776,FUQUAY VARINA TOWN OF ,FUQUAY-VARINA,PARK,,UNDER CONSTRUCTION,,,,,,349018.739657652,3005.66644122212
2383843,Rand Mill Park,3.47841565,GARNER TOWN OF ,GARNER,PARK,,,,,,,,151519.785614341,1695.28510314533
2383844,Ting Park,42.27353701,WAKE COUNTY ,HOLLY SPRINGS,PARK,,,,LITTLE BRANCH,,,2019/06/27 15:29:47+00,1841411.66130634,6361.96663733791
2383845,Herbert Akins Elementary School,19.28986279,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,,,,,,,,840266.423348368,4377.87744202303
2383846,Lawrence Street Park,5.36178808,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK,,,,,,,,233559.488943237,3002.96455184687
2383847,West Jones Street Park,0.46396462,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK,,,,,,,,20210.298994846,600.233594872113
2383848,Fuquay-Varina High Tennis Courts,2.25299014,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,PARK,WAKE COUNTY BOARD OF EDUCATION, ,788,,,,,98140.250651513,1360.99832693921
2383849,Veterans Freedom Park,2.62678701,VETERANS FREEDOM PARK FNDTN INC ,CARY,PARK,,,,,,,,538928.77287013,2890.68905921564
2383850,Carpenter Park,15.71971605,TOWN OF CARY,CARY,PARK,,Planned Park,,,,,2019/06/27 15:35:47+00,684735.029724092,3438.06901467
2383851,Good Hope Farm,29.79130993,TOWN OF CARY,CARY,PARK,,Planned Park,,,,,2019/06/27 15:36:32+00,1297708.57293043,5725.76594891371
2383852,Heritage East Open Space,7.09331653,ROLESVILLE TOWN OF ,ROLESVILLE,OPEN SPACE,,,,,,,,309013.920170768,7137.41524791965
2383853,,4.45474311,WAKE FOREST TOWN OF ,WAKE FOREST,OPEN SPACE,,,,,,,,194047.457355541,3116.82066854588
2383854,,0.89134114,WAKE FOREST TOWN OF ,WAKE FOREST,OPEN SPACE,,,,,,,,38826.8201086501,1987.38124064051
2383855,,1.20645688,WAKE FOREST TOWN OF ,WAKE FOREST,OPEN SPACE,,,,,,,,52553.2768146984,1843.5647730032
2383856,,0.25569207,APEX TOWN OF ,APEX,OPEN SPACE,,,,,,,,11137.9466702969,598.487427634598
2383857,,0.58951483,NC DEPARTMENT OF TRANSPORTATION ,KNIGHTDALE,OPEN SPACE,,,,,,,,25679.2662004104,964.840712751215
2383858,,0.92439823,NC DEPARTMENT OF TRANSPORTATION ,WAKE COUNTY,OPEN SPACE,,,,,,,,40266.7869828842,1879.794784841
2383859,,0.97139535,NC DEPARTMENT OF TRANSPORTATION ,WAKE COUNTY,OPEN SPACE,,,,,,,,42313.9815668211,1446.5772448662
2383860,Marla Dorrel Park,24.21927703,TOWN OF CARY,CARY,PARK, , , ,,,,,1054991.70733677,8173.58708215766
2383861,New Hope Church Road Trailhead Park,31.67593592,TOWN OF CARY,CARY,PARK,,American Tobacco Trail Trailhead,,,,,2019/06/27 15:37:29+00,1379803.76852637,8012.43771874942
2383862,Future Park,26.07999434,TOWN OF CARY,CARY,PARK,,,,,,,,1136044.55365291,4502.60090534355
2383863,,0.67088466,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,29223.7357360473,709.122378121681
2383864,,0.18857995,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,8214.54270961886,578.630775719805
2383865,,0.86736974,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,37780.5297965818,808.443801865361
2383866,,0.07463324,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,3251.0238050484,257.897376416077
2383867,,0.1948263,RALEIGH CITY OF ,RALEIGH,OPEN SPACE,,,,,,,,8486.63363408394,396.787798126054
2383868,,1.01249363,WAKE FOREST TOWN OF ,WAKE FOREST,OPEN SPACE,,,,,,,,44104.2227232042,1002.6052546528
2383869,,0.28159764,WENDELL TOWN OF ,WENDELL,OPEN SPACE,,,,,,,,12266.3934143124,444.106039973425
2383870,,1.84541553,TOWN OF GARNER ,GARNER,OPEN SPACE,,,,,,,,80386.3005241486,1153.68651606802
2383871,,1.91031243,GARNER TOWN OF ,GARNER,OPEN SPACE,,,,,,,,83213.2095437087,1796.5773216088
