Date,HumidityMax,HumidityAvg,HumidityMin
2001-01-18,100.0,94.2,76.0
2001-01-19,100.0,93.1,63.0
2001-01-20,100.0,94.1,64.0
2001-01-21,81.0,50.2,26.0
2001-01-22,85.0,57.5,31.0
2001-01-23,78.0,58.0,24.0
2001-01-24,89.0,59.7,31.0
2001-01-25,85.0,44.4,28.0
2001-01-26,78.0,44.1,22.0
2001-01-27,61.0,43.2,24.0
2001-01-28,77.0,45.7,15.0
2001-01-29,82.0,48.5,22.0
2001-01-30,100.0,78.3,42.0
2001-01-31,83.0,59.2,36.0
2001-02-01,89.0,67.7,46.0
2001-02-02,97.0,61.9,31.0
2001-02-03,64.0,38.0,19.0
2001-02-04,100.0,76.6,46.0
2001-02-05,100.0,77.2,40.0
2001-02-06,96.0,64.6,34.0
2001-02-07,96.0,60.5,33.0
2001-02-08,93.0,63.3,32.0
2001-02-09,100.0,79.9,51.0
2001-02-10,100.0,71.0,28.0
2001-02-11,69.0,45.6,29.0
2001-02-12,100.0,91.3,41.0
2001-02-13,100.0,92.0,67.0
2001-02-14,100.0,98.2,88.0
2001-02-15,100.0,91.7,73.0
2001-02-16,100.0,88.2,68.0
2001-02-17,100.0,64.8,31.0
2001-02-18,66.0,46.0,26.0
2001-02-19,72.0,47.0,29.0
2001-02-20,100.0,70.8,40.0
2001-02-21,93.0,66.1,32.0
2001-02-22,100.0,82.5,48.0
2001-02-23,97.0,83.2,59.0
2001-02-24,100.0,71.3,39.0
2001-02-25,97.0,89.3,74.0
2001-02-26,100.0,63.5,24.0
2001-02-27,89.0,48.7,23.0
2001-02-28,79.0,62.3,52.0
2001-03-01,89.0,53.2,20.0
2001-03-02,89.0,61.5,39.0
2001-03-03,100.0,85.8,59.0
2001-03-04,100.0,96.3,93.0
2001-03-05,100.0,72.9,34.0
2001-03-06,57.0,40.3,31.0
2001-03-07,61.0,48.0,35.0
2001-03-08,78.0,50.5,30.0
2001-03-09,86.0,41.7,18.0
2001-03-10,75.0,48.4,25.0
2001-03-11,79.0,49.5,22.0
2001-03-12,100.0,79.7,45.0
2001-03-13,100.0,69.4,30.0
2001-03-14,66.0,37.6,19.0
2001-03-15,100.0,89.5,32.0
2001-03-16,100.0,95.7,88.0
2001-03-17,100.0,70.9,37.0
2001-03-18,70.0,46.9,26.0
2001-03-19,75.0,39.3,19.0
2001-03-20,100.0,77.7,37.0
2001-03-21,100.0,95.6,88.0
2001-03-22,93.0,60.5,30.0
2001-03-23,89.0,50.1,23.0
2001-03-24,89.0,49.6,19.0
2001-03-25,71.0,42.9,28.0
2001-03-26,73.0,41.5,21.0
2001-03-27,67.0,38.1,24.0
